Topic;Question;Correct Answer ;Subtopic;Reference;Latest update;Link
1;After application of contrast agent into a percutaneous transhepatic biliary drainage, portal vein branches distal to the biliary entry of the drainage show contrast enhancement. What is the most likely diagnosis? ;Portobiliary fistula;DD based on imaging findings;;;
2;I see densily sclerotic endplates in a sagittal X-ray of the spine of a 14 year old patient. What is the most likely diagnosis?;Osteopetrosis;DD based on imaging findings;;;
3;I see a synovial mass on a knee MRI. The mass is T1 and T2 hyperintense. There is a concomitant joint effusion. What is the most likely diagnosis? ;Lipoma arborescens;DD based on imaging findings;;;
4;I see a lesion in an MRI of the liver that is slightly hyperintense on T2 and hypointense on T1 relative to the surrounding liver parenchyma. The lesion shows heterogenous arterial enhancement and a washout in the venous phase. The lesion shows a central scar on T2w imaging. What is the most likely diagnosis?;Fibrolamellar hepatocellular carcinoma;DD based on imaging findings;;;
5;I see prominent endplate densities at multiple contiguous vertebral levels on a sagittal X-ray of the spine and a well-defined lesion of the sixth rib on a chest X-ray. What is the most likely underlying condition? ;Hyperparathyroidism ('Rugger-Jersey-Spine' and 'brown tumor');DD based on imaging findings;;;
6;I�m looking at a non-contrast CT of the head of a patient after trauma. I see a large biconvex structure in the left frontotemporal region. What is the most likely diagnosis? ;Epidural hematoma;DD based on imaging findings;;;
7;I am looking at a prostate MRI and see a lesion in the right posterolateral peripheral zone. The lesion is hypointense in T2, hyperintense in DWI, hypointense in ADC and has a strong and early signal enhancement after contrast administration. What kind of lesion could this be?;Prostate Cancer;DD based on imaging findings;;;
8;A 24 year-old patient presents with right upper quadrant pain, fever and jaundice. MRI of the liver shows T1-hypointense, T2-hyperintense, segmental dilatation of the intrahepatic bile ducts, leading to a multicystic appearance. There are multiple concrements in the intrahepatic bile ducts. The patient has no history of bowel disease. What is the most likely diagnosis? ;Caroli Disease;DD based on imaging findings;;;
9;I am looking at an X-ray of the knee on a anteroposterior view of a patient after trauma. I see an elliptic bone fragment projected parallel to the lateral aspect of the tibial plateau. What is the most likely diagnosis? ;Segond fracture, indicative of a rupture of the anterior cruciate ligament;DD based on imaging findings;;;
10;I see an adrenal lesion in an MRI of the epigastric region. The lesion demonstrates a strong signal dropout on opposed-phase images. What is the most likely diagnosis? ;Adrenal adenoma;DD based on imaging findings;;;
11;CT of the brain reveals dystrophic calcifications at the corticomedullary junction, lentiform nuclei and the dentate nucleus. The patient has a history of childhood radiation therapy. What is the most likely diagnosis?;Mineralizing microangiopathy;DD based on imaging findings;;;
12;CT shows an inhomogeneous mottled liver, delayed enhancement of the peripheral liver with accompanying central low density and early enhancement of the caudate lobe and central liver around the inferior vena cava. What is the most likely diagnosis?;Budd-Chiari Syndrome;DD based on imaging findings;;;
13;"
CT shows cystic thickening of the duodenal wall with duodenal stenosis, common bile duct dilatation and fibrous tissue within the pancreaticoduodenal groove with late enhancement after contrast administration. What is the most likely diagnosis?";Groove Pancreatitis or paraduodenal pancreatitis;DD based on imaging findings;;;
14;CT shows bilateral pulmonaly nodules in a perilymphatic distribution with upper-lobe predominance and enlarged lymph nodes with fine calcification seen at the periphery of the lymph node. What is the most likely diagnosis? ;Silicosis;DD based on imaging findings;;;
15;Cardiac MRI shows global increase of myocardial T2 signal intensity, global increase of ECV, regional LGE signal increase and a global hypokinesis. What is the most likely diagnosis?;Myocarditis;DD based on imaging findings;;;
16;I am looking at a contrast-enhanced CT of the abdomen on the arterial phase in a patient with an infrarenal abdominal aortic aneurysm that has been treated by EVAR. I see contrast agent in the aneurysmal sac, originating from a left-sided lumbar artery. What is the most likely diagnosis? ;Endoleak Type IIa;Classification;;;
17;I am reviewing a contrast-enhanced CT of the liver in a patient with cirrhosis. The scan shows a 2,5 cm sized lesion with arterial phase hyperenhancement, complete washout on the portal venous phase and an enhancing capulse. According to the LI-RADS classification system, what is the most likely classification for this lesion?;LI-RADS 5;Classification;;;
18;On a contrast-enhanced CT scan of the abdomen, I observe a thickened irregular cystic mass with enhancing soft tissue components adjacent to but independent of the wall. According to the Bosniak classification, what category does this lesion most likely fall into?;Bosniak IV;Classification;;;
19;"A CT scan of the chest in a patient with chronic cough reveals multiple nodules with a perilymphatic distribution and a ""galaxy sign"" in the upper lobes as well as enlarged bihilar lymph nodes. According to the Scadding classification, what stage of sarcoidosis is most likely?";Stage II;Classification;;;
20;"
A mammogram shows an irregular, spiculated, high-density mass with associated microcalcifications and new fine linear and branching calcifications in segmental distribution. According to the BI-RADS classification, what is the most appropriate category for this finding?";BI-RADS 5;Classification;;;
21;I see a prominent pulmonary embolus in the right pulmonaly artery on a CT pulmonary angiography. What are signs of right ventricular dysfunction?;"Abnormal position of the interventricular septum
- Contrast reflux into inferior vena cava/liver veins 
- Increased diameter of the right ventricle";Imaging characteristics of pathologies;;;
22;What are the imaging characteristics (T1, T2, DWI, ADC) for a hyperacute intracranial hematoma?;"T1: isointense
T2: isointense to hyperintense
DWI: high
ADC: low";Imaging characteristics of pathologies;;;
23;What are the imaging characteristics of a hepatic abscess on CT?;"A hepatic abscess typically appears as a hypodense lesion with irregular margins on contrast-enhanced CT. It may show a ""double target"" sign with peripheral rim enhancement and internal septations or gas.";Imaging characteristics of pathologies;;;
24;What is a specific imaging sign of a sigmoid volvulus on abdominal X-ray?;Coffee bean sign;Imaging characteristics of pathologies;;;
25;Which bone and what region of the bone is most commonly affected in osteosarcomas?;The most commonly affected bone in osteosarcomas is the femur, particularly the metadiaphyseal region near the knee joint.;Imaging characteristics of pathologies;;;